Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
สลากกินแบ่งรัฐบาล,1,1,2400,94,0.00,https://news.sanook.com/lotto/,1920,15.73,0.00,0,3650000,"[24,24,18,24,18,100,44,35,66,100,53,16]",2025-12-27,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
ตรวจหวย,1,1,2900,82,0.00,https://news.sanook.com/lotto/,719,5.89,0.00,0,39800000,"[16,13,19,19,19,3,44,29,3,2,0,10]",2025-12-27,"Sitelinks, Video, Related searches",informational,Organic
สลากรัฐบาล,1,1,590,92,0.00,https://news.sanook.com/lotto/,472,3.86,0.00,0,4620000,"[31,16,46,8,68,68,68,68,11,0,0,0]",2025-12-03,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
หวย,1,1,1900,87,0.00,https://news.sanook.com/lotto/,471,3.86,0.00,0,42900000,"[65,55,55,65,55,65,82,65,65,55,55,55]",2025-12-18,"Top stories, Sitelinks, Video, People also ask, Related searches, See results about",informational,Organic
ตัว หวย,1,1,1600,28,0.00,https://news.sanook.com/lotto/,396,3.24,0.00,0,10,"[20,10,36,5,80,100,80,66,80,1,24,52]",2025-11-23,"Sitelinks, Video, Related searches",informational,Organic
หวยไทย,1,1,480,95,0.00,https://news.sanook.com/lotto/,384,3.14,0.00,0,43700000,"[10,1,10,16,10,10,0,0,100,0,100,0]",2025-12-14,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
ตรวจหวย 16 กย 2568,1,1,1300,18,0.00,https://news.sanook.com/lotto/check/16092568/,322,2.63,0.00,0,12600000,"[100,0]",2025-12-25,"Video, Image, Related searches","informational, transactional",Organic
ตรวจหวย16กันยายน2568,2,2,2400,29,0.00,https://news.sanook.com/lotto/check/16092568/,316,2.58,0.00,0,1690000,"[100,0]",2025-12-25,"Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
ลอตเตอรี่,1,1,390,88,0.00,https://news.sanook.com/lotto/,312,2.55,0.00,0,7550000,"[66,81,81,81,54,54,100,66,54,66,54,66]",2025-09-07,"Top stories, Image pack, Sitelinks, Video, Related searches",navigational,Organic
หวยวันนี้,1,1,320,90,0.00,https://news.sanook.com/lotto/,256,2.09,0.00,0,47900000,"[7,7,8,11,8,2,13,2,7,100,11,11]",2025-09-12,"Top stories, Image pack, Sitelinks, Video, Related searches","commercial, navigational",Organic
